Data,Open,High,Low,close,Volumes
2024-01-03,639.7000,648.0000,636.0000,643.4000,342400
2024-01-02,641.8000,647.8500,633.8000,639.0500,860673
2024-01-01,642.7000,646.9000,637.6000,641.9500,794497
2023-12-29,646.4500,649.5000,639.5500,641.9500,654616
2023-12-28,650.0000,653.3500,646.4000,651.1000,483613
2023-12-27,641.4000,649.6000,639.0500,648.3500,403417
2023-12-26,639.8500,641.3000,635.8000,637.9500,284374
2023-12-22,645.4000,649.4000,635.2500,636.6500,1383434
2023-12-21,628.2500,648.7500,627.2000,643.9000,561723
2023-12-20,659.4000,660.4000,633.7000,636.1500,1323717
2023-12-19,649.0000,659.5000,640.3000,655.6000,1186201
2023-12-18,647.4000,655.5500,642.2500,648.8500,1806923
2023-12-15,626.1500,649.9500,619.9000,648.4000,1121894
2023-12-14,625.3000,627.5500,622.3500,623.5500,788104
2023-12-13,614.2000,620.5000,611.7000,619.8500,339493
2023-12-12,617.8500,617.8500,610.8500,612.3500,597252
2023-12-11,614.9500,619.8000,613.2500,614.3500,820051
2023-12-08,610.9000,616.6000,605.3000,614.0000,1453429
2023-12-07,608.1500,612.8000,604.7000,611.8500,373957
2023-12-06,612.0000,613.7500,604.4000,608.1000,1118736
2023-12-05,594.6500,611.3500,594.6500,608.4000,951698
2023-12-04,583.3500,596.0000,583.3500,594.6500,3410622
2023-12-01,568.2500,574.1500,566.9500,571.8500,800596
2023-11-30,570.5000,570.5000,563.5500,564.7000,292583
2023-11-29,567.3000,569.0000,565.0500,568.5000,648986
2023-11-28,562.5000,565.2000,561.1000,564.5500,453783
2023-11-24,562.5500,562.5500,559.3000,560.3000,808295
2023-11-23,560.5000,563.4500,558.3500,559.9500,434822
2023-11-22,562.0500,564.5000,555.2500,559.1000,358645
2023-11-21,565.4500,566.7000,561.0000,561.4000,274813
2023-11-20,565.4500,566.8000,560.4500,563.7000,618773
2023-11-17,577.7500,577.7500,562.5000,563.1500,1489564
2023-11-16,584.6500,588.0000,583.0000,584.4000,183402
2023-11-15,586.2500,589.0000,582.6000,584.6500,553483
2023-11-13,581.7500,582.5000,575.2000,581.3500,1062610
2023-11-10,578.6500,580.3500,575.4000,579.4000,601607
2023-11-09,580.5000,581.9000,576.6000,578.7500,650487
2023-11-08,581.0500,582.5000,579.0000,580.2000,924515
2023-11-07,575.0000,582.0000,572.6500,580.8000,1417477
2023-11-06,583.0000,583.0000,573.2000,574.4000,1882539
2023-11-03,576.0000,579.2500,573.4500,578.1500,1406672
2023-11-02,571.7000,575.3000,567.7500,571.9000,473859
2023-11-01,567.0500,569.7000,563.9000,566.2000,426099
2023-10-31,568.4500,569.6000,563.1000,565.3500,172015
2023-10-30,562.3500,566.7000,556.6000,565.0500,242414
2023-10-27,552.8500,562.5000,549.8500,561.0000,838984
2023-10-26,552.6500,552.6500,543.1500,547.1500,825405
2023-10-25,558.1000,560.8000,553.6500,556.3500,646354
2023-10-23,563.2500,566.0000,551.0500,553.0500,568113
2023-10-20,570.0000,570.2500,562.1500,563.2500,908786
2023-10-19,570.5000,573.8000,567.0500,571.2500,365001
2023-10-18,577.0500,579.2000,569.4500,572.6500,317937
2023-10-17,578.0000,579.9500,575.2000,576.4000,421451
2023-10-16,576.1500,578.7500,571.5500,575.7000,539887
2023-10-13,578.8000,581.3500,575.0000,576.1500,1136896
2023-10-12,591.7000,592.9500,585.0000,586.2000,196449
2023-10-11,596.3000,596.9000,587.7500,588.3000,222771
2023-10-10,586.4000,594.9000,585.8000,591.6000,188509
2023-10-09,588.7500,588.7500,581.6000,585.0000,220637
2023-10-06,594.0000,598.9000,592.2500,594.1000,607912
2023-10-05,590.8500,594.4000,587.2500,592.2500,235839
2023-10-04,600.7500,600.7500,584.5000,585.9500,461669
2023-10-03,597.6000,604.4500,589.7000,602.9500,640559
2023-09-29,593.4500,600.0000,591.4500,598.7000,657559
2023-09-28,590.7000,595.2000,589.0000,589.9500,227736
2023-09-27,594.3000,594.3500,588.3000,589.5000,177685
2023-09-26,594.1000,595.1500,591.4000,594.3000,385118
2023-09-25,600.0500,601.7000,590.5000,594.1000,336421
2023-09-22,593.0000,602.0000,592.0000,598.1000,866541
2023-09-21,601.0000,606.5500,585.0000,588.3000,440399
2023-09-20,602.3500,606.5500,599.5500,601.0500,399803
2023-09-18,596.5500,608.2500,596.5500,603.9500,432537
2023-09-15,599.0000,600.6000,595.2000,598.4000,314144
2023-09-14,599.3500,603.5000,595.3000,597.2000,883061
2023-09-13,587.0500,597.9500,583.5500,596.4500,459128
2023-09-12,592.2500,594.1500,584.5000,588.2500,589937
2023-09-11,586.2000,592.3000,585.3500,591.5500,884258
2023-09-08,580.4000,588.2000,579.6000,583.4500,1379972
2023-09-07,570.4500,581.0000,568.4500,579.3000,810019
2023-09-06,573.2500,573.9500,568.1000,570.4500,406259
2023-09-05,574.6500,578.2500,571.5000,572.9000,931075
2023-09-04,570.0500,576.3000,568.5000,575.5500,1590128
2023-09-01,563.0000,571.3500,562.0000,569.7000,1710220
2023-08-31,568.6500,570.2500,559.3500,561.3000,1385583
2023-08-30,575.3000,577.6000,566.3000,567.6500,1187186
2023-08-29,573.9500,576.2500,571.8500,575.2000,775277
2023-08-28,573.4000,574.5000,569.2000,572.8000,623556
2023-08-25,573.5500,575.1000,567.3500,570.2500,1483930
2023-08-24,577.6000,581.8000,575.5500,576.7000,638959
2023-08-23,571.0000,577.9000,566.0500,576.9000,472921
2023-08-22,571.6000,574.3000,567.5500,568.3000,316184
2023-08-21,573.0000,575.5000,570.6500,571.4500,460081
2023-08-18,571.5000,575.1500,567.0000,573.0500,1231108
2023-08-17,565.4000,573.0000,564.2000,572.1000,715572
2023-08-16,560.6000,566.2000,554.1000,565.4000,330163
2023-08-14,573.0000,573.0000,558.8000,560.6000,1108036
2023-08-11,574.6000,578.8000,572.0000,574.2000,401489
2023-08-10,574.4500,577.6000,570.1500,573.5500,759679
2023-08-09,575.0000,575.0000,568.5000,573.7500,316646
2023-08-08,572.4000,574.3000,568.7000,572.9000,507743
2023-08-07,579.7500,579.7500,566.6500,567.8500,978860
2023-08-04,594.9000,598.5000,571.5000,573.2500,2741570
2023-08-03,598.0000,600.7500,585.2000,590.6000,1140437
2023-08-02,609.5000,610.6000,594.2000,598.5500,420472
2023-08-01,619.1500,620.2000,610.8500,611.7500,467544
2023-07-31,615.4000,620.9500,614.5000,620.1000,372200
2023-07-28,616.1000,619.8000,613.8500,616.0500,699123
2023-07-27,614.3000,621.1500,613.2500,616.5000,416776
2023-07-26,611.5000,616.4000,609.2500,615.0500,387710
2023-07-25,620.3000,621.4500,604.2000,609.8000,870035
2023-07-24,614.1000,621.5000,614.1000,617.6500,400927
2023-07-21,610.8000,619.5000,609.0000,614.9500,1181652
2023-07-20,600.6000,610.7500,598.8000,609.9500,844175
2023-07-19,594.0000,602.3000,592.0000,601.3500,549745
2023-07-18,602.8500,603.9000,588.8000,592.2000,916516
2023-07-17,585.0500,602.6000,584.1000,600.9000,1106906
2023-07-14,585.8000,591.2500,580.7000,584.4500,584518
2023-07-13,592.6000,598.0500,584.0000,585.7000,589512
2023-07-12,589.9000,594.5000,587.9500,589.0500,352286
2023-07-11,594.1500,596.0000,587.4000,588.4500,290993
2023-07-10,594.0000,599.8000,590.2500,592.5000,826561
2023-07-07,590.6000,595.4000,585.5000,593.7500,775540
2023-07-06,590.0000,593.4500,588.9500,592.3000,633065
2023-07-05,590.0000,593.5000,588.1000,590.8500,292175
2023-07-04,587.6500,595.7000,582.2000,589.2000,582334
2023-07-03,574.0000,586.2000,574.0000,585.4000,462230
2023-06-30,571.4000,574.0000,570.2500,572.8000,628114
2023-06-29,565.9500,565.9500,565.9500,565.9500,0
2023-06-28,573.0000,573.9500,568.7000,569.9500,547692
2023-06-27,557.5500,567.7500,555.7500,565.9500,428216
2023-06-26,555.7500,558.5000,554.6000,557.1000,252355
2023-06-23,562.0000,562.0000,554.0000,554.7000,563498
2023-06-22,566.4000,568.9000,561.1000,563.0500,433310
2023-06-21,567.0000,569.4000,565.4500,566.4000,409445
2023-06-20,568.8000,569.3000,562.6000,567.4000,212196
2023-06-19,571.5000,572.5000,566.0000,568.8000,519204
2023-06-16,568.5000,574.4000,567.0500,571.3000,199410
2023-06-15,575.0000,576.8000,565.0000,566.1000,287910
2023-06-14,577.0000,578.5000,575.3000,576.4500,282579
2023-06-13,578.7500,581.5500,574.3000,576.4000,282636
2023-06-12,580.7000,581.5500,577.9000,578.5500,174753
2023-06-09,588.0000,589.0000,577.0000,578.6000,509412
2023-06-08,590.0000,593.8500,586.2000,588.5000,381761
2023-06-07,587.7000,590.5000,585.8500,588.9500,180445
2023-06-06,587.2500,588.6500,583.0500,585.3000,407110
2023-06-05,587.5500,589.9000,586.0000,587.0000,360723
2023-06-02,583.9000,588.7500,583.0500,587.2000,205626
2023-06-01,580.3500,586.2000,580.3500,582.6000,472416
2023-05-31,584.8500,584.8500,577.5000,580.5500,564194
2023-05-30,595.0000,595.5000,591.4500,592.8500,305614
2023-05-29,588.6000,596.3000,588.1500,594.9500,351483
2023-05-26,581.0000,587.6500,580.2500,585.8500,559609
2023-05-25,582.5500,582.7000,577.0000,581.3000,239193
2023-05-24,581.2500,585.1500,578.3000,582.5500,252785
2023-05-23,579.8000,583.5000,577.0000,581.5500,652471
2023-05-22,578.3000,580.2500,573.7000,577.1500,359477
2023-05-19,579.1000,586.0500,569.7500,575.0500,1090537
2023-05-18,592.3500,593.6500,571.4000,574.1500,1782979
2023-05-17,585.3500,590.4500,579.6500,586.5000,435714
2023-05-16,583.7500,590.1000,582.0000,586.2000,734987
2023-05-15,578.8000,583.9500,574.5500,581.9000,294489
2023-05-12,574.9000,580.8000,571.7500,578.1000,240806
2023-05-11,574.8500,577.5000,572.5000,573.4000,243093
2023-05-10,574.0000,574.3500,563.3500,572.0500,382363
2023-05-09,585.0000,586.6500,572.1500,573.4500,401946
2023-05-08,576.3500,587.5000,576.3500,583.4000,414153
2023-05-05,579.5000,587.9500,575.0500,576.3500,786758
2023-05-04,571.5000,581.0000,569.0000,580.0000,443304
2023-05-03,571.0000,575.0000,569.1000,570.2000,428064
2023-05-02,578.1000,580.9500,573.3000,575.1500,300302
2023-04-28,565.5500,580.0000,565.5500,578.0500,878199
2023-04-27,564.1000,567.3000,561.2500,564.9500,268175
2023-04-26,562.1000,567.0000,556.4000,566.3000,302034
2023-04-25,555.0000,568.0000,554.5500,561.6500,655814
2023-04-24,542.9500,555.5000,542.9500,554.5500,512613
2023-04-21,544.1500,546.4500,539.8000,542.9500,199894
2023-04-20,540.5500,545.3500,536.9000,544.7000,454958
2023-04-19,544.4500,547.2500,538.5000,540.3500,317082
2023-04-18,542.0000,548.3000,540.4500,545.8000,652827
2023-04-17,525.2500,544.7000,525.2500,544.0000,1042487
2023-04-13,527.6500,534.4500,527.1000,533.1500,733247
2023-04-12,532.1000,534.0500,526.0500,528.2500,238741
2023-04-11,530.5500,535.5000,527.2000,532.0000,623590
2023-04-10,528.3000,530.3500,525.0000,526.3000,377867
2023-04-06,523.9500,533.6000,521.9000,527.9500,468140
2023-04-05,527.0000,527.6000,519.0000,522.8000,302349
2023-04-03,524.5500,528.5000,522.0500,526.6500,308599
2023-03-31,520.0500,524.9000,519.5500,523.7000,438019
2023-03-29,508.1000,518.0000,506.4000,516.3500,736275
2023-03-28,512.0000,512.0000,504.0000,508.1000,323998
2023-03-27,507.1000,514.0000,501.8500,510.0000,750504
2023-03-24,514.1000,515.1000,503.7500,505.6000,407127
2023-03-23,519.9000,521.0000,511.9000,512.7000,455428
2023-03-22,522.7000,526.9000,520.2500,521.5000,282783
2023-03-21,522.0000,523.4000,516.5500,521.7500,413466
2023-03-20,527.0000,527.0000,515.0000,519.1000,435403
2023-03-17,529.7000,531.6000,520.1000,529.2000,454773
2023-03-16,517.4500,529.3000,514.4000,524.4500,686944
2023-03-15,530.4000,531.8500,515.5000,517.4500,393683
2023-03-14,528.9500,532.9500,520.0000,525.2500,545071
2023-03-13,545.1000,553.2000,528.2500,529.7000,535464
2023-03-10,553.9000,554.9500,545.0000,547.2500,603505
2023-03-09,565.0000,565.9000,558.1000,559.1000,350522
2023-03-08,560.0000,565.5500,556.5500,564.8000,415660
2023-03-06,565.0000,568.0000,559.0500,561.6500,378483
2023-03-03,541.2000,564.0000,541.2000,561.1000,2188942
2023-03-02,536.0000,539.9500,532.4500,533.8000,480134
2023-03-01,523.0500,537.5000,523.0500,536.8000,384155
2023-02-28,527.9500,528.0000,521.7000,522.7500,589521
2023-02-27,520.9500,529.6000,519.0500,527.9500,397605
2023-02-24,526.7500,527.6000,517.4000,520.9500,351252
2023-02-23,518.6500,524.0000,511.2500,520.8000,674569
2023-02-22,521.2000,521.7500,512.5000,516.3500,355801
2023-02-21,527.2000,529.0000,522.5000,523.2500,317073
2023-02-20,532.4000,534.0000,522.1000,525.1000,507031
2023-02-17,539.1500,539.5000,527.8000,530.9000,771672
2023-02-16,546.0500,546.7500,539.0000,540.1000,263883
2023-02-15,541.4500,544.6500,537.0000,542.2000,294189
2023-02-14,539.7000,544.6000,530.8000,540.6500,330324
2023-02-13,554.7000,556.8000,533.4000,537.3000,577180
2023-02-10,547.4500,557.0500,546.6500,552.9500,361598
2023-02-09,553.0000,553.0000,542.8000,550.6500,674156
2023-02-08,548.1500,554.6500,545.5500,549.5500,738413
2023-02-07,548.0000,551.6500,541.2500,547.1000,647852
2023-02-06,554.0000,558.2500,536.7500,545.3500,1473575
2023-02-03,535.0000,546.0000,519.4000,544.4500,1735194
2023-02-02,516.8000,532.7000,502.5500,528.0000,1602831
2023-02-01,562.8500,564.9500,499.3500,527.1000,2394144
2023-01-31,545.7500,556.9500,538.0000,553.7000,1085214
2023-01-30,530.3500,554.5000,525.0500,538.3500,1702096
2023-01-27,572.1500,572.1500,532.3500,540.2000,1346646
2023-01-25,595.0500,595.8500,567.3000,568.8000,936393
2023-01-24,602.4500,604.6000,593.0000,594.3500,217501
2023-01-23,598.1500,601.5000,592.5000,600.4500,138245
2023-01-20,592.0000,596.5000,590.5000,592.1000,259570
2023-01-19,591.5000,591.5000,587.8000,589.9000,168181
2023-01-18,596.8500,597.1000,587.8500,591.4000,322537
2023-01-17,603.4000,606.0000,586.2000,592.9500,408441
2023-01-16,601.1500,606.0000,600.7000,603.0000,245456
2023-01-13,596.6000,602.7000,593.7000,600.0500,284458
2023-01-12,597.8000,597.8000,590.3000,595.0000,405611
2023-01-11,596.0000,599.4000,592.3500,596.5500,332770
2023-01-10,607.8500,608.8000,590.7000,595.1500,599806
2023-01-09,605.9500,609.0000,600.5000,607.8500,477133
2023-01-06,606.1000,607.4500,597.0000,600.6000,362496
2023-01-05,607.9000,611.5000,602.0500,605.2000,319390
2023-01-04,612.3500,615.0000,603.8000,605.2500,212339
2023-01-03,612.5500,616.6500,610.0500,612.3500,322698
2023-01-02,615.0000,619.2500,611.5000,612.2500,189984
2022-12-30,615.7000,620.5000,611.5000,613.2000,544009
2022-12-29,601.2000,616.3500,597.3500,612.3000,621617
2022-12-28,602.0000,606.9500,598.8500,601.2000,258405
2022-12-27,600.9000,603.1000,593.3500,601.8500,343276
2022-12-26,573.6000,601.7500,570.7000,596.7500,368995
2022-12-23,590.0000,590.4500,572.0000,573.9500,439245
2022-12-22,595.2000,599.0500,587.5000,593.3500,523610
2022-12-21,604.6500,609.1500,589.7000,593.4000,450475
2022-12-20,603.5000,606.6000,599.4500,604.6000,383924
2022-12-19,608.3000,609.4500,602.9000,604.9500,207743
2022-12-16,612.8000,615.5000,593.6000,603.3000,331847
